UID,大类,小类,关注视频log2归一化
,4,4,0
,5,5,0
,11,11,0
,13,13,0
,4,17,0
,4,19,0
,129,20,0
,160,21,0.270346562
,119,22,0
,23,23,0
,1,24,0
,1,25,0
,119,26,0
,1,27,0
,3,28,0
,3,29,0.066511785
,3,30,0
,3,31,0.085965235
,13,32,0
,13,33,0
,36,36,0
,177,37,0.033255893
,1,47,0
,13,51,0
,3,59,0.15247702
,4,65,0
,5,71,0
,217,75,0.115046486
,211,76,0
,23,83,0
,181,85,0.066511785
,1,86,0
,188,95,0
,119,119,0
,4,121,0
,36,122,0.279094006
,36,124,0.085965235
,119,126,0
,119,127,0
,129,129,0
,3,130,0.099767678
,4,136,0
,5,137,0
,160,138,0.099767678
,23,145,0
,23,146,0
,23,147,0
,13,152,0
,167,153,0
,129,154,0
,155,155,0
,129,156,0
,155,157,0
,155,158,0
,155,159,0
,160,160,0
,160,161,0
,160,162,0
,234,164,0
,167,167,0
,167,168,0
,167,169,0
,167,170,0
,4,171,0
,4,172,0
,4,173,0.033255893
,223,176,0.033255893
,177,177,0
,177,178,0
,177,179,0
,177,180,0
,181,181,0
,181,182,0
,181,183,0.052709343
,181,184,0
,11,185,0
,11,187,0
,188,188,0
,155,192,0
,3,193,0
,3,194,0
,167,195,0
,129,198,0
,129,199,0
,129,200,0
,36,201,0.196438919
,202,202,0
,202,203,0
,202,204,0
,202,205,0
,202,206,0
,36,207,0.141268621
,36,208,1
,36,209,0.085965235
,1,210,0
,211,211,0
,211,212,0
,211,213,0
,211,214,0
,211,215,0
,119,216,0
,217,217,0
,217,218,0
,217,219,0.066511785
,217,220,0.066511785
,217,221,0
,217,222,0
,223,223,0
,223,224,0
,223,225,0
,223,226,0
,223,227,0
,36,228,0.119221128
,36,229,0
,188,230,0
,188,231,0.19138392
,188,232,0
,188,233,0
,234,234,0
,234,235,0
,234,236,0
,234,237,0
,234,238,0
,160,239,0.033255893
,1,1,0.000755863
,3,3,0
,4,4,0
,5,5,0
,11,11,0
,13,13,0
,4,17,0.256745494
,4,19,0
,129,20,0.010953861
,160,21,0.434047318
,119,22,0.04681433
,23,23,0
,1,24,0.016616678
,1,25,0.006418681
,119,26,0.005830916
,1,27,0.110296781
,3,28,0.041943203
,3,29,0.027054217
,3,30,0.007616696
,3,31,0.080544206
,13,32,0
,13,33,0
,36,36,0
,177,37,0.01641786
,1,47,0.083881588
,13,51,0.004221469
,3,59,0.037805199
,4,65,0.303866215
,5,71,0.042423923
,217,75,0.053623611
,211,76,0.032959303
,23,83,0
,181,85,0.037807218
,1,86,0.014861618
,188,95,0.043651767
,119,119,0
,4,121,0.018328737
,36,122,0.041951006
,36,124,0.120373452
,119,126,0.017675294
,119,127,0.001511727
,129,129,0
,3,130,0.047652363
,4,136,0.009128423
,5,137,0.033734453
,160,138,0.346277046
,23,145,0
,23,146,0
,23,147,0.000755863
,13,152,0.000755863
,167,153,0
,129,154,0.040631893
,155,155,0
,129,156,0.000755863
,155,157,0.015511526
,155,158,0.009809051
,155,159,0.00453518
,160,160,0
,160,161,0.022319154
,160,162,0.013221451
,234,164,0.034222573
,167,167,0
,167,168,0.019359976
,167,169,0
,167,170,0.006964766
,4,171,1
,4,172,0.237466602
,4,173,0.100363705
,223,176,0.075785068
,177,177,0
,177,178,0.003023454
,177,179,0.000755863
,177,180,0.006175347
,181,181,0
,181,182,0.063199868
,181,183,0.095514131
,181,184,0.026033411
,11,185,0
,11,187,0
,188,188,0
,155,192,0
,3,193,0.02345795
,3,194,0
,167,195,0
,129,198,0.005220666
,129,199,0.009272015
,129,200,0.00226759
,36,201,0.094491894
,202,202,0
,202,203,0.030398402
,202,204,0.012980954
,202,205,0.029430152
,202,206,0.014568659
,36,207,0.050424285
,36,208,0.036859461
,36,209,0.05774149
,1,210,0.012281213
,211,211,0
,211,212,0.033541602
,211,213,0.023408489
,211,214,0.007488256
,211,215,0.047848264
,119,216,0.027586922
,217,217,0
,217,218,0.051025481
,217,219,0.051167394
,217,220,0.009570574
,217,221,0.038350654
,217,222,0.009313694
,223,223,0
,223,224,0.006617499
,223,225,0
,223,226,0
,223,227,0.005534377
,36,228,0.103538791
,36,229,0.010504872
,188,230,0.005976529
,188,231,0.006046907
,188,232,0.026607374
,188,233,0.004464802
,234,234,0
,234,235,0.036500457
,234,236,0.034003016
,234,237,0.013862421
,234,238,0.057536899
,160,239,0.102897008
,1,1,0
,3,3,0
,4,4,0
,5,5,0
,11,11,0
,13,13,0
,4,17,0
,4,19,0
,129,20,0
,160,21,0.426800793
,119,22,0
,23,23,0
,1,24,0
,1,25,0
,119,26,0
,1,27,0
,3,28,0.027584026
,3,29,0.035651836
,3,30,0
,3,31,0.138132734
,13,32,0
,13,33,0
,36,36,0
,177,37,0.021859823
,1,47,0
,13,51,0
,3,59,0.070743137
,4,65,0
,5,71,0.013792013
,217,75,0.013792013
,211,76,0
,23,83,0
,181,85,0
,1,86,0
,188,95,0.021859823
,119,119,0
,4,121,0
,36,122,0.063235862
,36,124,0.146398215
,119,126,0
,119,127,0
,129,129,0
,3,130,0.166116439
,4,136,0
,5,137,0.049443849
,160,138,0.069572349
,23,145,0
,23,146,0
,23,147,0
,13,152,0
,167,153,0
,129,154,0
,155,155,0
,129,156,0
,155,157,0.061504538
,155,158,0
